,target
0,0
1,1.6642696228024818
2,2.4055741458889095
3,0.46597693621507563
4,8.504862296628257
5,7.328858897133989
6,27.732406755329222
7,2.184347155889562
8,4.575387833865135
9,0.9179292254521667
10,0
11,12.926464552816473
12,0
13,0.5091088564109083
14,33.146587948618226
15,11.147229871286664
16,0
17,3.885102364636425
18,0.9545175928646512
19,3.9665375853575866
20,0.7397353682510719
21,2.695209857681209
22,2.1339529131661967
23,0
24,0.16194705174650803
25,0
26,0
27,7.166525184063328
28,0
29,1.4998687337516299
30,9.219032924091666
31,4.326154533166669
32,7.809762200790976
33,0
34,0
35,39.537433880078325
36,7.077146957566244
37,0
38,7.591602036440451
39,0
40,0
41,0
42,0
43,0.1971530619844919
44,0
45,2.654007236564987
46,3.145630231739541
47,7.461095517385067
48,33.02564166250807
49,0
50,29.41120754215566
51,0
52,0
53,0
54,2.5576627529758937
55,3.691548353096295
56,0.3277695078160816
57,5.729699859319163
58,4.608627046983883
59,1.4624914171984593
60,6.644667538903052
61,0
62,0
63,0
64,0
65,5.5260756507766216
66,0
67,0.2344862178529019
68,27.536013297187424
69,28.159844621294983
70,0
71,0
72,8.37752002874491
73,5.910517010741138
74,0
75,7.850797335215258
76,0
77,4.08758356160033
78,0
79,0
80,0
81,8.799923209434183
82,0
83,0
84,10.711417858518656
85,0
86,19.509246489699997
87,10.572590260815668
88,0
89,0
90,0
91,2.2744107786010055
92,4.380687678871379
93,0
94,8.409832855072715
95,0
96,0
97,2.2007196791509482
98,6.103135414777869
99,8.5517308823075
100,0
101,0.41207548085444357
102,0
103,3.7728741463097086
104,1.0905024655407405
105,0
106,0
107,4.861478159809318
108,0
109,0
110,0
111,45.59399351142009
112,0
113,0
114,9.473423240079233
115,27.77834849006092
116,9.770070050949785
117,0
118,1.236470349017082
119,0
120,0
121,2.4199020941514076
122,2.0561715887966123
123,0
124,17.643480366222562
125,0.20034323905065632
126,7.639412783139189
127,35.00657676897288
128,0
129,0
130,0.7202632857712148
131,0
132,0
133,0
134,0
135,7.500171222295304
136,0
137,16.778220295971813
138,0
139,9.064625057440312
140,0
141,0
142,0.7412568713226908
143,0
144,0
145,16.43375978937048
146,0
147,0
148,0
149,14.294560009547823
150,0
151,0
152,2.9578058031773793
153,0
154,0
155,2.2092815802011936
156,21.219128752198035
157,3.4856849365107268
158,15.783779545666714
159,0
160,0
161,0
162,0
163,1.3274989938326889
164,0
165,15.989203840740574
166,21.059641984736263
167,3.013964375395099
168,0
169,1.0425302245573733
170,6.249010554755165
171,0
172,3.3725930205411667
173,4.587447175332344
174,0.2298264882957426
175,0
176,2.262022252645478
177,15.87825226598338
178,4.2280183106315405
179,8.54507818510583
180,0.08456373258874317
181,3.03540173657819
182,2.4242007884396304
183,4.9560804602228865
184,0
185,1.4924526312949769
186,0
187,0
188,0
189,13.26613119573999
190,10.941991816565045
191,2.44637026780797
192,25.52873177648578
193,4.57144361315079
194,1.9104816162089266
195,0.2913712139450655
196,1.4004834395752677
197,1.5952154035163022
198,10.18780023304622
199,7.748622385699042
200,15.682820623648112
201,0
202,0
203,0
204,19.095672644954128
205,0
206,0
207,12.290985461019032
208,2.6503016128601824
209,0.8001412475275642
210,7.68767850127675
211,0
212,0
213,3.046403652323851
214,0
215,0.5132074977680623
216,1.2490484223954499
217,0
218,0
219,6.350559086641615
220,55.02841704976949
221,0
222,13.565226705070907
223,6.554198150335081
224,5.569016991726773
225,0.5277095848487892
226,0
227,33.46506718574505
228,0
229,0
230,0
231,0
232,6.375774477258139
233,0
234,0
235,9.38294589910692
236,7.0802205735214105
237,0.461657210370197
238,12.593042705235671
239,2.3104462903382426
240,0
241,0
242,8.276923688472602
243,0
244,16.219785825468158
245,2.8756356512861867
246,0
247,12.585513990758898
248,0
249,69.71308616432628
250,0
251,0
252,0
253,0
254,0
255,20.08192677242414
256,4.463059568053104
257,0
258,0
259,0
260,0
261,9.871193894286948
262,50.30403324907852
263,1.102469795257845
264,115.73107953867418
265,8.943820933732294
266,6.776715526497085
267,4.574587260040599
268,0
269,0
270,0
271,0
272,0
273,0
274,2.207079496936718
275,0
276,2.0776740858445852
277,9.983004151858031
278,0
279,16.172315173279763
280,11.939520206204989
281,0
282,7.354198483252022
283,0
284,0
285,9.334912685882973
286,3.660568847446609
287,0
288,3.7209605274931956
289,21.08997164958773
290,8.769567382286526
291,2.111107847410519
292,0
293,0
294,23.525155390639135
295,18.816925942623033
296,0
297,0
298,1.3712457883165796
299,6.666337077293411
300,0
301,0.5564901355163774
302,0
303,0
304,5.170587974308379
305,0
306,3.4418600195954876
307,138.655807574837
308,0
309,0
310,0
311,22.587527743611368
312,1.3282574803072733
313,0.19465115268314337
314,0
315,0
316,36.38105317397196
317,2.832129931772874
318,3.548543015700575
319,38.602970620930336
320,1.5699151943577436
321,0
322,0
323,9.084955731797374
324,0
325,0
326,0
327,0
328,0
329,0.59527965380284
330,0
331,5.420317692437125
332,0
333,2.571165067643628
334,5.7544153523327335
335,15.689653956110547
336,0
337,7.6908061192222625
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0.3119597989279739
347,2.5417551306541326
348,2.3090538795369064
349,7.184415146217581
350,2.462023844993431
351,0
352,8.743446197049757
353,0
354,9.66765251784411
355,0
356,1.0623175237578741
357,3.8106794878861954
358,0
359,0
360,3.1515393993022007
361,0
362,0
363,0
364,0
365,13.548596612191275
366,0
367,0
368,1.796581935350203
369,0
370,0
371,1.6278208840207122
372,11.059069685677827
373,0
374,0
375,0
376,0
377,5.249842717645988
378,4.195561736564526
379,0
380,0
381,0
382,20.07030559940322
383,0
384,0
385,1.1072588322883594
386,5.812274216529034
387,0
388,0
389,0
390,14.524361100619014
391,0
392,10.328191779616388
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,39.27164453009966
402,0
403,15.413720410707926
404,0
405,0
406,3.1453307131072084
407,0
408,0
409,0
410,0
411,0
412,2.9746075312851326
413,0
414,0
415,0
416,7.9126129133023095
417,0
418,22.23679098917612
419,9.655113203916065
420,0
421,0
422,0
423,3.164495094151537
424,0
425,0
426,1.6057214048200767
427,19.76590608671614
428,2.8882494827142815
429,8.36907017156518
430,112.90666885400128
431,5.654141883367414
432,0
433,0
434,0
435,44.90859194028397
436,0
437,24.143298593814333
438,0
439,0
440,6.961010417236491
441,8.226196633868057
442,0
443,0
444,8.698039267930376
445,0
446,16.42056959334691
447,0
448,0
449,0
450,0
451,0
452,11.095161685108812
453,0
454,0.6633529256996114
455,0
456,5.891649530022759
457,12.24960525327264
458,1.7478540660109592
459,13.714509749363573
460,0
461,0
462,1.2036940517702974
463,13.982329419698095
464,1.055690953142698
465,2.041578949700064
466,57.97544364757075
467,3.8594257845340465
468,4.113752050147262
469,32.07118662572465
470,3.4931806528354996
471,1.094320951563799
472,0
473,0.44019527371652023
474,0
475,0
476,0
477,0
478,0
479,0
480,1.2023807268194981
481,0
482,0
483,0
484,0
485,1.2199216780500346
486,0
487,2.372180183624338
488,24.0283505218698
489,0.8780335342402323
490,18.480113491312736
491,0
492,0
493,8.328480885582533
494,0
495,0
496,36.29870085270293
497,2.487923600483273
498,16.1536900579543
499,0
500,27.580111725977815
501,0
502,23.17429727644468
503,0
504,1.8519438433949404
505,163.1267691004071
506,0
507,15.226248405000524
508,1.2882786781169275
509,12.24053232388799
510,0
511,0
512,0
513,56.26931876128586
514,10.017749636408904
515,0.7059318873939291
516,2.880903193816727
517,0
518,0
519,0
520,5.6684879106961805
521,28.210513121248592
522,6.540306448314242
523,24.523172837711094
524,0
525,83.68453625992896
526,22.181324607420407
527,0
528,0
529,2.9873523684464613
530,0.8533583283294806
531,12.915366609991114
532,0
533,2.963843008855803
534,18.73361868887223
535,5.561068469555739
536,14.35220115518397
537,0
538,19.679736769667784
539,24.09347209293864
540,0
541,9.244056680469196
542,7.18821145835103
543,0
544,1.4506942221077677
545,0
546,2.763458453572243
547,7.035545327708091
548,0
549,0
550,0
551,23.698319863551408
552,2.1052561875087275
553,0
554,45.024121593351296
555,2.9053996357628002
556,31.352671622769464
557,10.015013337742765
558,0
559,0
560,3.33160128196331
561,12.800648541915605
562,10.143969859539391
563,16.293827131127543
564,0
565,0
566,6.1615682215219465
567,0
568,0
569,0
570,0
571,0
572,0
573,11.056176805360833
574,0
575,19.257586488978756
576,7.9131948740489495
577,0
578,5.817551880676255
579,6.086015879694655
580,0
581,0
582,0
583,4.836072501303597
584,0
585,0
586,0
587,2.050037263257761
588,1.0557466349914013
589,0
590,20.875908259555942
591,0
592,0
593,17.565938989142555
594,0
595,45.941846881009106
596,2.012385277610581
597,0
598,14.790586738086837
599,22.20833506348927
600,0
601,0
602,0.32934510843751363
603,0
604,18.809278798153866
605,33.143966314230475
606,1.328690867755793
607,0
608,0
609,1.2668136624855215
610,3.9503457589662774
611,0
612,0
